Brand,Year,Model,UsedOrNew,Transmission,EngineDisplacement(L),DriveType,FuelType,FuelConsumption(L)/100km,Kilometers,CylindersinEngine,BodyType,State
Toyota,2017,Corolla,USED,Automatic,1.8,Front,Unleaded,6.1,130970,4,Hatchback,NSW
Honda,2016,Civic,USED,Automatic,1.5,Front,Unleaded,6.0,35612,4,Sedan,NSW
Audi,2013,A3,USED,Automatic,1.8,Front,Premium,6.7,148265,4,Hatchback,NSW
Hyundai,2018,I30,USED,Automatic,1.6,Front,Unleaded,7.1,83494,4,Hatchback,NSW
Mazda,2012,2,USED,Automatic,1.5,Front,Unleaded,6.8,85492,4,Hatchback,NSW
Volkswagen,2013,Tiguan,USED,Automatic,2.0,AWD,Premium,8.8,126408,4,SUV,NSW
Renault,2017,Trafic,USED,Manual,1.6,Front,Diesel,6.2,173156,4,Commercial,NSW
Peugeot,2013,208,USED,Manual,1.6,Front,Premium,5.9,78783,4,Hatchback,NSW
Land,2020,Rover,USED,Automatic,2.0,AWD,Premium,8.1,26227,4,SUV,NSW
Honda,2017,HR-V,USED,Automatic,1.8,Front,Unleaded,6.6,101821,4,SUV,NSW
Mitsubishi,2014,Triton,USED,Manual,2.5,4WD,Diesel,8.1,221872,4,Ute / Tray,NSW
Nissan,2015,Pulsar,USED,Automatic,1.8,Front,Unleaded,6.7,90691,4,Sedan,NSW
Mazda,2018,6,USED,Automatic,2.5,Front,Unleaded,7.0,24305,4,Sedan,NSW
Audi,2007,A4,USED,Automatic,2.0,Front,Premium,8.3,168901,4,Sedan,NSW
Honda,2005,Accord,USED,Automatic,2.4,Front,Unleaded,9.3,167562,4,Sedan,NSW
Audi,2016,SQ5,USED,Automatic,3.0,AWD,Diesel,6.8,152995,6,SUV,NSW
Toyota,2007,Corolla,USED,Automatic,1.8,Front,Unleaded,7.4,236946,4,Sedan,NSW
Holden,2011,Commodore,USED,Automatic,3.6,Rear,Unleaded,9.8,183580,6,Wagon,NSW
Nissan,2015,X-Trail,USED,Automatic,1.6,Front,Diesel,5.3,124882,4,SUV,NSW
Mazda,2005,6,USED,Automatic,2.3,Front,Premium,8.9,247519,4,Sedan,NSW
Audi,2021,Q3,USED,Automatic,1.4,Front,Premium,7.2,9819,4,SUV,NSW
Lexus,2004,IS300,USED,Automatic,3.0,Rear,Unleaded,10.5,124230,6,Sedan,NSW
Mitsubishi,2020,Triton,USED,Automatic,2.4,Rear,Diesel,8.3,43839,4,Ute / Tray,NSW
Hyundai,2012,I30,USED,Automatic,1.8,Front,Unleaded,6.9,106286,4,Hatchback,NSW
Toyota,2018,Kluger,USED,Automatic,3.5,Front,Unleaded,9.1,128601,6,SUV,NSW
Subaru,2011,Outback,USED,Automatic,3.6,AWD,Premium,10.3,91016,6,SUV,NSW
Jaguar,2014,XF,USED,Automatic,2.2,Rear,Diesel,5.2,38821,4,Sedan,NSW
Nissan,2015,X-Trail,USED,Automatic,2.5,Front,Unleaded,7.9,94239,4,SUV,NSW
Ford,2013,Ranger,USED,Manual,3.2,4WD,Diesel,9.4,167122,5,Ute / Tray,NSW
Honda,2004,Accord,USED,Automatic,2.4,Front,Premium,9.4,207966,4,Sedan,NSW
Ford,2017,Ranger,USED,Manual,3.2,4WD,Diesel,8.3,108767,5,Ute / Tray,NSW
Volkswagen,2015,Polo,USED,Automatic,1.2,Front,Premium,4.8,39578,4,Hatchback,NSW
Mazda,2015,2,USED,Automatic,1.5,Front,Unleaded,4.9,105633,4,Hatchback,NSW
Nissan,2002,Pulsar,USED,Automatic,1.8,Front,Unleaded,8.0,169981,4,Sedan,NSW
Hyundai,2015,Veloster,USED,Automatic,1.6,Front,Unleaded,6.4,138263,4,Hatchback,NSW
Toyota,2006,Corolla,USED,Automatic,1.8,Front,Unleaded,7.4,238016,4,Hatchback,NSW
Audi,2014,Q3,USED,Automatic,2.0,AWD,Diesel,5.9,73021,4,SUV,NSW
Holden,2010,Cruze,USED,Automatic,2.0,Front,Diesel,6.9,106831,4,Sedan,NSW
